code,,,Observation,,known
0,A_CP,,,,1
1,,Langvos,280.4104167,,
1,,A,317.5911111,,
2,,A,,42.285,
0,A,,,,
1,,A_CP,228.60625,,
2,,A_CP,,45.281,
1,,B,67.19736111,,
2,,B,,44.737,
0,B,,,,
1,,A,242.7472222,,
2,,A,,44.733,
1,,C,107.0305556,,
2,,C,,46.105,
0,C,,,,
1,,D,84.33472222,,
2,,D,,53.541,
1,,B,287.0305556,,
2,,B,,46.108,
0,D,,,,
1,,C,276.0058333,,
2,,C,,53.543,
1,,E,90.96527778,,
2,,E,,41.092,
0,E,,,,
1,,D,333.1725,,
2,,D,,41.093,
1,,F,152.44,,
2,,F,,37.085,
0,F,,,,
1,,E,95.55388889,,
2,,E,,37.087,
1,,G,277.1638889,,
2,,G,,43.444,
0,G,,,,
1,,F,265.3216667,,
2,,F,,43.444,
1,,H,83.58777778,,
2,,H,,34.415,
0,H,,,,
1,,G,31.30111111,,
2,,G,,34.415,
1,,J,213.7927778,,
2,,J,,26.67,
0,J,,,,
1,,H,308.1469444,,
2,,H,,26.667,
1,,K,122.5855556,,
2,,K,,39.117,
0,K,,,,
1,,Langvos,227.2258333,,
1,,J,195.6769444,,
2,,J,,39.118,
1,,L,18.96527778,,
2,,L,,38.627,
0,L,,,,
1,,Langvos,138.5433333,,
1,,K,110.7519444,,
2,,K,,38.627,
1,,M,338.9447222,,
2,,M,,46.856,
0,M,,,,
1,,Langvos,250.2866667,,
1,,L,270.2797222,,
2,,L,,46.855,
1,,N,109.8372222,,
2,,N,,38.76,
0,N,,,,
1,,Langvos,280.4911111,,
1,,M,319.4447222,,
2,,M,,38.761,
1,,O,139.6469444,,
2,,O,,39.706,
0,O,,,,
1,,Langvos,349.4802778,,
1,,N,28.02138889,,
2,,N,,39.706,
1,,P,207.7377778,,
2,,P,,44.559,
0,P,,,,
1,,O,298.305,,
2,,O,,44.558,
1,,Q,118.7472222,,
2,,Q,,42.879,
0,Q,,,,
1,,Langvos,157.8647222,,
1,,P,195.2744444,,
2,,P,,42.883,
1,,borehole,352.0183333,,
2,,borehole,,28.26,
0,borehole,,,,
1,,Langvos,259.3991667,,
1,,Q,273.3886111,,
2,,Q,,28.261,
1,,S,140.0633333,,
2,,S,,26.378,
0,S,,,,
1,,Langvos,309.2888889,,
1,,borehole,9.390277778,,
2,,borehole,,26.374,
1,,T,169.9333333,,
2,,T,,43.009,
0,T,,,,
1,,Langvos,89.52777778,,
1,,S,129.5275,,
2,,S,,43.005,
1,,U,307.6619444,,
2,,U,,38.121,
0,U,,,,
1,,Langvos,89.52777778,,
1,,T,321.3944444,,
2,,T,,38.119,
1,,V,140.6458333,,
2,,V,,48.214,
0,V,,,,
1,,Langvos,320.5236111,,
1,,U,350.6936111,,
2,,U,,48.245,
1,,W,154.7705556,,
2,,W,,54.352,
0,W,,,,
1,,Langvos,40.38416667,,
1,,V,73.96361111,,
2,,V,,54.352,
1,,Xa,256.6544444,,
2,,Xa,,53.08,
0,Xa,,,,
1,,Langvos,55.36027778,,
1,,W,90.93888889,,
2,,W,,53.082,
1,,X,270.5661111,,
2,,X,,56.313,
0,X,,,,
1,,Langvos,334.4730556,,
1,,Xa,8.987222222,,
2,,Xa,,56.315,
1,,Y,186.0161111,,
2,,Y,,53.057,
0,Y,,,,
1,,Langvos,87.88277778,,
1,,X,118.845,,
2,,X,,53.056,
1,,F5,266.495,,
2,,F5,,25.038,
0,F5,,,,1
1,,Langvos,89.04083333,,
1,,Y,87.66222222,,
2,,Y,,25.037,
