Code,c,,Observation,,,,,,,
0,T444,,,,,,,,,
1,,T500,337.4508333,,,,337,27,3,337.4508333
1,,T119,44.59666667,,,,44,35,48,44.59666667
1,,T117,65.75527778,,,,65,45,19,65.75527778
1,,T013,71.46333333,,,,71,27,48,71.46333333
0,T381,,,,,,,,,0
1,,T500,45.11416667,,,,45,6,51,45.11416667
1,,T119,58.24611111,,,,58,14,46,58.24611111
1,,T117,82.50194444,,,,82,30,7,82.50194444
1,,T013,94.88861111,,,,94,53,19,94.88861111
0,T013,,,,,,,,,0
1,,T500,317.4733333,,,,317,28,24,317.4733333
1,,T119,41.28833333,,,,41,17,18,41.28833333
1,,T117,63.49555556,,,,63,29,44,63.49555556
1,,T381,274.8891667,,,,274,53,21,274.8891667
