Code,c,,Observation,,,,,,,
0,start,,,,,,,,,
2,,first,,16.2,,,,,,
1,,first,145.1886111,,,,145,11,19,145.1886111
0,first,,,,,,,,,0
2,,second,,24.1,,,,,,0
1,,second,125.7377778,,,,125,44,16,125.7377778
1,,intersect,89.23277778,,,,89,13,58,89.23277778
0,second,,,,,,,,,0
1,,third,101.4463889,,,,101,26,47,101.4463889
2,,third,,25.6,,,,,,0
1,,first,305.7377778,,,,305,44,16,305.7377778
1,,intersect,14.13305556,,,,14,7,59,14.13305556
0,third,,,,,,,,,0
2,,second,,25.6,,,,,,0
1,,second,281.4463889,,,,281,26,47,281.4463889
1,,intersect,312.2461111,,,,312,14,46,312.2461111
2,,finish,,20.9,,,,,,0
1,,finish,65.08611111,,,,65,5,10,65.08611111
0,finish,,,,,,,,,0
1,,third,245.0861111,,,,245,5,10,245.0861111
2,,third,,20.9,,,,,,0
