Code,Station,Target,Observation,,,,,
0,SUR09,,direction,distance,,,HELP,
3,,SUR10,14.42444444,229.598,,,01:00,direction
1,,T117,88.88833333,,,,02:00,distance
1,,T013,111.0347222,,,Station: ,station name,
1,,T444,127.9611111,,,Target:,target name,
0,SUR10,,,,,Direction:,in Decimal Degrees,
1,,SUR09,194.4377778,,,Distance:,in Meters,
1,,T040,316.5225,,,,,
1,,RU4A,7.247222222,,,,,
2,,RU4A,,159.918,,,,
1,,T013,121.3966667,,,,,
0,RU4A,,,,,,,
1,,SUR10,187.2494444,,,,,
1,,T040,310.3355556,,,,,
1,,SUR11,14.64888889,,,,,
2,,SUR11,,180.52,,,,
1,,T117,99.55416667,,,,,
0,SUR11,,,,,,,
1,,RU4A,194.6480556,,,,,
1,,T040,301.6830556,,,,,
1,,SUR12,51.55416667,,,,,
2,,SUR12,,247.223,,,,
0,SUR12,,,,,,,
1,,SUR11,231.5561111,,,,,
1,,T040,290.4063889,,,,,
1,,T115,47.74666667,,,,,
